Stage Name,Full Name,Korean Name,Date of Birth,Country,Group,Gender,,
Chael,Lim Junyeop,임준엽,07/12/2001,South Korea,LUN8,M,,
Chaelin,Lee Chaelin,이채린,20/10/1999,South Korea,FANATICS,F,,
Chaerin,Park Chaerin,박채린,13/03/2002,South Korea,Cherry Bullet,F,,
Chaerin,Park Chaerin,박채린,31/03/2003,South Korea,ICHILLIN',F,,
Chaerin,Lee Chaerin,이채린,07/07/2007,South Korea,KELT9b,F,,
Chaeryeong,Lee Chaeryeong,이채령,05/06/2001,South Korea,ITZY,F,,
Chaesol,Maeng Chaesol,맹채솔,14/07/1998,South Korea,Cignature,F,,
Chaewon,Kim Chaewon,김채원,08/11/1997,South Korea,APRIL,F,,
Chaewon,Kim Chaewon,김채원,01/08/2000,South Korea,LE SSERAFIM,F,,
Chaewon,Lee Chaewon,이채원,18/03/2000,South Korea,Maka Maka,F,,
Chaewon,Yoon Chaewon,윤채원,04/06/2003,South Korea,CLASS:y,F,,
ChaeY,Song Chaeyeon,송채연,06/01/2003,South Korea,CRAXY,F,,
Chaeyeon,Jung Chaeyeon,정채연,01/12/1997,South Korea,DIA,F,,
Chaeyeon,Kim Chaeyeon,김채연,04/12/2004,South Korea,tripleS,F,,
Chaeyeon,Lee Chaeyeon,이채연,11/01/2000,South Korea,IZ*ONE,F,,
Chaeyoung,Son Chaeyoung,손채영,23/04/1999,South Korea,Twice,F,,
Chaeyoung,Lee Chaeyoung,이채영,14/05/2000,South Korea,fromis_9,F,,
Chahee,Park Sooyoung,박수영,24/03/1996,South Korea,MELODYDAY,F,,
Chan,Jung Chanwoo,정찬우,26/01/1998,South Korea,iKON,M,,
Chan,Kang Yoochan,강유찬,31/12/1997,South Korea,A.C.E,M,,
Chan,Jo Chanhyuk,조찬혁,08/12/1999,South Korea,TOO,M,,
Changbin,Seo Changbin,서창빈,11/08/1999,South Korea,Stray Kids,M,,
Changbum,Woo Changbum,우창범,07/10/1993,South Korea,Sokcho,M,,
Changgyu,Song Changgyu,송창규,06/07/1993,South Korea,UNVS,M,,
Changjo,Choi Jonghyun,최종현,16/11/1995,South Korea,Teen Top,M,,
Changsub,Lee Changsub,이창섭,26/02/1991,South Korea,BtoB,M,,
Changsun,Lee Changsun,이창선,17/03/1996,South Korea,24K,M,,
Changuk,Joo Changuk,주창욱,25/07/2001,South Korea,DRIPPIN,M,,
Chani,Kang Chanhee,강찬희,17/01/2000,South Korea,SF9,M,,
Chanmi,Kim Chanmi,김찬미,19/06/1996,South Korea,AoA,F,,
Chansung,Hwang Chansung,황찬성,11/02/1990,South Korea,2PM,M,,
Chanty,Maria Chantal Videla,마리아 샹탈 비델라,15/12/2002,Philippines,Lapillus,F,,
Chanwon,An Chanwon,안찬원,21/03/2008,South Korea,The Wind,M,,
Chanwook,Yang Chanwook,양찬욱,25/02/2002,South Korea,WEUS,M,,
Chanyeol,Park Chanyeol,박찬열,27/11/1992,South Korea,EXO,M,,
Chanyong,Kim Chanyong,김찬용,29/04/1993,South Korea,FAVE1,M,,
Chanyoung,Kim Chanyoung,김찬영,20/11/2000,South Korea,D-CRUNCH,M,,
Chanyoung,Jung Chanyoung,정찬영,31/01/2004,South Korea,HAWW,M,,
Chen,Kim Jongdae,김종대,21/09/1992,South Korea,EXO,M,,
Cheng Xiao,Cheng Xiao,청샤오,15/07/1998,China,,Shenzhen,F,
Chenle,Zhong Chenle,중천러,22/11/2001,China,NCT,NCT Dream,M,
Cheongeum,Jang Cheongeum,장청음,19/06/1996,South Korea,Ho1iday,F,,
Chi.u,Lee Jaeyi,이재이,16/08/1998,South Korea,,,F,
Chiayi,Li Chiayi,지아이,22/01/2000,Taiwan,FANATICS,F,,
Chihoon,Choi Chihoon,최치훈,27/04/1999,South Korea,TOO,M,,
Chiquita,Riracha Phondechaphiphat,리라차 폰데차피팟,17/02/2009,Thailand,BABYMONSTER,F,,
Chiwoo,Guk Seungjun,국승준,02/09/2002,South Korea,Kingdom,M,,
Chloe,Yun Jiwon,윤지원,06/01/2001,South Korea,Cignature,F,,
Chloe Young,Chloe Duong,클로이 두옹,31/10/2001,South Korea,BADVILLAIN,F,,
Choa,Park Choa,박초아,06/03/1990,South Korea,,Incheon,F,
Choa,Heo Minjin,허민진,12/07/1990,South Korea,Crayon Pop,F,,
Choerry,Choi Yerim,최예림,04/06/2001,South Korea,Loona Odd Eye Circle,F,,
Choi In,Choi In,최인,11/02/1996,South Korea,E'LAST,M,,
Choi Jiann,Choi Jaewoo,최재우,30/09/1997,South Korea,Newkidd,M,,
Chorong,Park Chorong,박초롱,03/03/1991,South Korea,Apink,F,,
Chowon,Han Chowon,한초원,16/09/2002,South Korea,LIGHTSUM,F,,
Chowon,Kim Chowon,김초원,18/08/2005,South Korea,ICHILLIN',F,,
Choyeon,Kim Choyeon,김초연,01/08/2001,South Korea,bugAboo,F,,
Chris,Han Chris,한 크리스,19/11/2002,South Korea,BLITZERS,M,,
Chungha,Kim Chungha,김청하,09/02/1996,South Korea,Dallas,F,,
Chunji,Lee Chanhee,이찬희,05/10/1993,South Korea,Teen Top,M,,
Chuu,Kim Jiwoo,김지우,20/10/1999,South Korea,Cheongju,Loona yyxy,F,
CL,Lee Chaerin,이채린,26/02/1991,South Korea,2NE1,F,,
CNU,Shin Dongwoo,신동우,16/06/1991,South Korea,B1A4,M,,
Cory,Hong Joohyung,홍주현,25/11/1990,South Korea,24K,M,,
Cya,Lee Giwook,이기욱,24/01/2000,South Korea,Onewe,M,,
Cyan,Lee Chaeeun,이채은,04/04/2001,South Korea,bugAboo,F,,
D.ana,Cho Eunae,조은애,10/09/1995,South Korea,Sonamoo,F,,
D.O.,Do Kyungsoo,도경수,12/01/1993,South Korea,EXO,M,,
D1,Jang Dongil,장동일,15/02/1998,South Korea,DKB,M,,
Dabi,Park Jiwon,박지원,19/01/2000,South Korea,AREAL,F,,
Daehwi,Lee Daehwi,이대휘,29/01/2001,South Korea,AB6IX,M,,
Daehyeon,Jang Daehyeon,장대현,11/02/1997,South Korea,WEi,M,,
Daehyun,Jung Daehyun,정대현,28/06/1993,South Korea,B.A.P,M,,
Daeil,Kim Daeil,김대일,10/05/1992,South Korea,,Busan,M,
Daesung,Daesung,강대성,26/04/1989,South Korea,BIGBANG,M,,
Daeun,Jung Daeun,정다은,03/06/1994,South Korea,2EYES,F,,
Daewang Nim,Daewang Nim,대왕님,08/04/1996,South Korea,Pink Fantasy,F,,
Daeyeol,Lee Daeyeol,이대열,11/02/1993,South Korea,Golden Child,M,,
Dahye,Song Dahye,송다혜,12/06/1993,South Korea,,F,,
Dahyun,Kim Dahyun,김다현,28/05/1998,South Korea,Twice,F,,
Dahyun,Jeong Dahyun,정다현,29/04/2005,South Korea,Rocket Punch,F,,
Dahyun,Seo Dahyun,서다현,08/01/2003,South Korea,tripleS,F,,
Dahyun,Kim Dahyun,김다현,,South Korea,Hearts2Hearts,F,,
Dain,Song Jieun,송지은,25/06/1990,South Korea,,F,,
Dain,Jung Dain,정다인,15/12/2004,South Korea,HOT ISSUE,F,,
Daisy,Yoo Jeongahn,유정안,22/01/1999,South Korea,Seoul,F,,
Dajeong,Kim Dajeong,김다정,08/08/1995,South Korea,Hashtag,F,,
Dajeong,Jung Dajeong,정다정,31/07/2003,South Korea,Pixy,F,,
Dakyung,Jung Dakyung,정다경,23/07/2001,South Korea,Hi-L,F,,
Dalyn,Lee Sohyun,이소현,27/08/1999,South Korea,ANS,F,,
Damhee,Park Damhee,박담희,21/06/2000,South Korea,ARTBEAT,F,,
Dami,Lee Yoobin,이유빈,07/03/1997,South Korea,Dreamcatcher,F,,
Dami,Hong Dayoung,홍다영,07/06/2001,South Korea,ANS,F,,
Damin,Kang Damin,강다민,24/03/2004,South Korea,Queenz Eye,F,,
Damon,Hu Boohan,후보한,02/07/1996,China,VARSITY,M,,
Dan-a,Park Seungyeon,박승연,26/06/1993,South Korea,Matilda,F,,
Dana,Jang Dana,장다나,25/12/2003,South Korea,HOT ISSUE,F,,
Daniel,Kang Daniel,강다니엘,10/12/1996,South Korea,Wanna One,M,,
Danielle,Mo Jihye,모지혜,11/04/2005,South Korea,NewJeans,F,,
Dann,Jung Seungbo,정승보,01/11/1997,South Korea,Kingdom,M,,
Dany,Jeon Eunji,전은지,20/01/1998,South Korea,Ho1iday,F,,
Daon,Ahn Seonil,안선일,10/12/2000,South Korea,DUSTIN,M,,
Dara,Park Sandara,박산다라,12/11/1984,South Korea,2NE1,F,,
Daseul,Yang Daseul,양다슬,14/09/2000,South Korea,Maka Maka,F,,
Dasom,Kim Dasom,김다솜,06/05/1993,South Korea,SISTAR,F,,
Dasom,Lee Dasom,이다솜,13/11/1993,South Korea,2EYES,F,,
Davin,Kim Davin,김다빈,30/05/2002,South Korea,XODIAC,M,,
Dawon,Nam Dawon,남다원,16/03/1997,South Korea,WJSN,F,,
Dawon,Lee Sanghyuk,이상혁,24/07/1995,South Korea,SF9,M,,
Dawon,Cho Dawon,조다원,12/05/2000,South Korea,VARSITY,M,,
Dawon,Lee Dawon,이다원,02/12/1996,South Korea,ARIAZ,F,,
Daye,Kim Hyunjung,김현정,25/02/1998,South Korea,Berry Good,F,,
Dayeon,Hwang Da Kyeon,황연경,17/11/1995,South Korea,XUM,F,,
Dayeon,Kim Dayeon,김다연,02/03/2003,South Korea,Kep1er,F,,
Dayoung,Kim Dayoung,김다영,02/02/1991,South Korea,Blady,F,,
Dayoung,Im Dayoung,임다영,14/05/1999,South Korea,WJSN,F,,
Dayun,Kim Dayun,김다윤,20/11/2000,South Korea,Bonus Baby,F,,
Della,Park Sehyun,박세현,03/09/1995,South Korea,Rockit Girl,F,,
Denise,Kim Denise,김데니스,11/01/2001,South Korea,,F,,
Dey,Kim Sehyun,김세현,11/06/2003,South Korea,YOUNITE,M,,
Dia,Kwak Minnyeong,곽민녕,03/09/1999,South Korea,Maka Maka,F,,
Dia,Choi Eunji,최은지,16/07/2001,South Korea,Pixy,F,,
Dino,Lee Chan,이찬,11/02/1999,South Korea,Seventeen,M,,
Dita,Dita Karang,디타 가랑,25/12/1996,Indonesia,SECRET NUMBER,F,,
DK,Lee Seongmin,이석민,18/02/1997,South Korea,Seventeen,M,,
DK,Kim Donghyuk,김동혁,03/01/1997,South Korea,iKON,M,,
DK,Kim Dokyun,김도균,16/02/1998,South Korea,BLANK2Y,M,,
Do-A,Choi Yuna,최윤아,02/02/1999,South Korea,ALICE,F,,
Doa,Im Youngseo,임영서,29/10/2001,South Korea,We;Na,F,,
Doah,Kim Doah,김도아,04/12/2003,South Korea,FANATICS,F,,
Doeun,Kim Doeun,김도은,24/12/2007,South Korea,YOUNG POSSE,F,,
Doha,Na Gyumin,나규민,07/03/2004,South Korea,BAE173,M,,
Doha,Park Doha,박도하,27/03/1992,South Korea,XEED,M,,
Dohee,Yoon Dohee,윤도희,24/09/1999,South Korea,,F,,
Dohee,Min Dohee,민도희,25/09/1994,South Korea,Tiny-G,F,,
Dohee,Kwon Dohee,권도희,01/08/2002,South Korea,Cignature,F,,
Dohoon,Kim Dohoon,김도훈,30/01/2005,South Korea,TWS,M,,
Dohwan,Gil Dohwan,길도환,26/08/2003,South Korea,Ciipher,M,,
Dohyon,Nam Dohyon,남도현,10/11/2004,South Korea,BAE173,M,,
Dohyuk,Kim Dohyuk,김도혁,16/01/1998,South Korea,14U,M,,
Dohyun,Park Dohyun,박도현,23/10/2003,South Korea,LUN8,M,,
Doi,Kim Doi,김도이,12/04/1994,South Korea,FANATICS,F,,
Dojin,Jeon Yongtae,전용태,07/03/1997,South Korea,ENOi,M,,
Dokyun,Na Dokyun,나도균,11/02/1991,South Korea,HISTORY,M,,
Donggeon,Song Donggeon,송동건,15/07/1999,South Korea,TOO,M,,
Donghae,Lee Donghae,이동해,15/10/1986,South Korea,Super Junior,M,,
Donghan,Kim Donghan,김동한,03/07/1998,South Korea,WEi,M,,
Dongheon,Lee Dongheon,이동헌,04/08/1995,South Korea,Verivery,M,,
Donghun,Lee Donghun,이동훈,15/05/1993,South Korea,A.C.E,M,,
Donghyuk,Park Donghyuk,박동혁,18/12/1999,South Korea,BLANK2Y,M,,
Donghyun,Kim Donghyun,김동현,12/02/1989,South Korea,Boyfriend,M,,
Donghyun,Kim Donghyun,김동현,23/02/1999,South Korea,Golden Child,M,,
Donghyun,Kim Donghyun,김동현,17/09/1998,South Korea,AB6IX,M,,
Dongjun,Kim Dongjun,김동준,11/02/1992,South Korea,ZE:A,M,,
Dongjun,Hwang Dongjun,황동준,07/09/1999,South Korea,,M,,
Dongkyu,Moon Dongkyu,문동규,16/11/1992,South Korea,Spectrum,M,,
Dongmyeong,Son Dongmyeong,곤동명,20/01/2000,South Korea,Onewe,M,,
Dongpyo,Son Dongpyo,손동표,09/09/2002,South Korea,Mirae,M,,
Dongwan,Kim Dongwan,김동완,21/11/1979,South Korea,Shinhwa,M,,
Dongwon,Lee Dongwon,이동원,01/01/1994,South Korea,KNK,M,,
Dongwoo,Jang Dongwoo,장동우,22/11/1990,South Korea,Infinite,M,,
Dongwoon,Son Dongwoon,손동운,06/06/1991,South Korea,Highlight,M,,
Dongyeon,Justin Lajo,저스틴 라조,26/09/2003,Philippines,POW,M,,
Dongyun,Kim Dongyun,김동윤,18/02/2002,South Korea,DRIPPIN,M,,
Doojoon,Yoon Doojoon,윤두준,04/07/1989,South Korea,Highlight,M,,
Doryun,Kim Doryun,킴도륜,01/05/2000,South Korea,AIMERS,M,,
Dosie,Jang Eunseung,장은성,11/02/2000,South Korea,Purple Kiss,F,,
Douhyun,Yoo Douhyun,유도현,25/12/2000,South Korea,Mirae,M,,
Dowoon,Yoon Dowoon,윤도운,25/08/1995,South Korea,DAY6,M,,
Doyeon,Kim Doyeon,김도연,04/12/1999,South Korea,Weki Meki,F,,
Doyoung,Kim Dongyoung,김동영,01/02/1996,South Korea,NCT,M,,
Doyoung,Kim Doyoung,김도영,04/12/2003,South Korea,Treasure,M,,
Duna,Kang Duna,강두나,28/04/2005,South Korea,CSR,F,,
DY,Jeon Doyum,전도염,21/02/2002,South Korea,JUST B,M,,
Dylan,Park Yeonjae,박연재,26/07/2002,South Korea,D-CRUNCH,M,,
E'Dawn,Kim Hyojong,김효종,01/06/1994,South Korea,,M,,
E-Chan,Lee Changmin,이창민,19/02/1997,South Korea,DKB,M,,
E-tion,Lee Changyoon,이창윤,24/12/1994,South Korea,ONF,M,,
E-Young,Noh Yiyoung,노이영,16/08/1992,South Korea,After School,F,,
E.Ji,Choi Jiwon,최지원,08/11/2000,South Korea,ICHILLIN',F,,
E.sha,Kwon Yena,권예나,29/12/1998,Australia,X:IN,F,,
E.sol,Jeon Jaehyuk,전재혁,17/09/1992,South Korea,14U,M,,
E:U,Park Jiwon,박지원,19/05/1998,South Korea,Everglow,F,,
Eden,Jae Won,재원,27/03/1998,South Korea,NINE.i,M,,
EJ,Kim Eunji,김은지,13/08/1997,South Korea,ALICE,F,,
Eli,Ellison Kim,엘리슨 킴,13/03/1991,USA,U-KISS,M,,
Elisia,Elisia Lyrisse Parmisano,엘리시아 리리스 파르미사노,18/04/2009,Philippines,UNIS,F,,
Elkie,Chong Ting Yan,쫑딩얀,02/11/1998,Hong Kong,,Hong Kong,F,
Ella,Kim Kyungjoo,김경주,26/03/1998,South Korea,,,F,
Ellin,Kim Minyoung,김민영,02/04/1990,South Korea,Crayon Pop,F,,
Elly,Jung Haerim,정해림,20/07/1998,South Korea,Weki Meki,F,,
Ellyn,Bang Sunhee,방선희,19/10/2002,South Korea,Girlkind,F,,
Elva,Lee Yonghwa,이용화,05/05/2003,South Korea,ILY:1,F,,
Emma,Song Hyemin,송혜민,26/04/2000,South Korea,BADVILLAIN,F,,
Eric,Son Youngjae,손영재,22/12/2000,South Korea,The Boyz,M,,
Eric,Moon Junghyuk,문정혁,16/02/1979,South Korea,Shinhwa,M,,
Eseo,Noh Hyunjung,노현정,04/03/1996,South Korea,LUNARSOLAR,F,,
Eson,Kim Jungmin,김정민,28/12/1996,South Korea,We In The Zone,M,,
Euaerin,Lee Hyemin,이혜민,03/05/1988,South Korea,,Seoul,F,
Euijeong,Yeon Euijeong,연의정,21/07/2001,South Korea,KELT9b,F,,
Euijin,Hong Euijin,홍의진,08/10/1996,South Korea,Sonamoo,F,,
Euijin,Lee Euijin,이의진,15/02/1990,South Korea,Bigflo,M,,
Eun,Choi Eunmi,최은미,14/05/1990,South Korea,Two X,F,,
Euna,,은아,25/05/2003,South Korea,We;Na,F,,
EunB,Shin Eunbi,신은비,17/09/2000,South Korea,Maka Maka,F,,
EunB,Byun Eunbi,변은비,23/11/2000,South Korea,PRECIOUS,F,,
Eunbi,Kwon Eunbi,권은비,27/09/1995,South Korea,IZ*ONE,F,,
Eunbin,Kwon Eunbin,권은빈,06/01/2000,South Korea,CLC,F,,
Eunchae,Kwon Chaewon,권채원,26/05/1999,South Korea,DIA,F,,
Eunchae,Son Eunchae,손은채,06/10/1999,South Korea,bugAboo,F,,
Eunchae,Hong Eunchae,홍은채,10/11/2006,South Korea,LE SSERAFIM,F,,
Eunchan,Choi Byeongseop,최병섭,27/02/2001,South Korea,TEMPEST,M,,
Eunha,Jung Eunbi,정은비,30/05/1997,South Korea,VIVIZ,F,,
Eunho,Shin Donggeun,신동근,10/09/1992,South Korea,UNVS,M,,
Eunho,Myung Eunho,명은호,25/03/2001,South Korea,YOUNITE,M,,
Eunhyuk,Lee Hyukjae,이혁재,04/04/1986,South Korea,Super Junior,M,,
Eunice,Heo Sooyeon,허수연,02/09/1991,South Korea,DIA,F,,
Eunil,Kim Eunil,김은일,21/11/2003,South Korea,TRENDZ,M,,
Eunjae,Kwak Eunjae,곽은재,02/05/1996,South Korea,14U,M,,
Eunji,Jung Eunji,정은지,18/08/1993,South Korea,Apink,F,,
Eunji,Hong Eunji,홍은지,19/07/1992,South Korea,Brave Girls,F,,
Eunjin,Ahn Eunjin,안은진,31/08/1997,South Korea,,,F,
Eunjin,Ma Eunjin,마은진,23/05/1997,South Korea,Playback,F,,
Eunjin,Moon Eunjin,문은진,05/11/1998,South Korea,Highteen,F,,
Eunjo,Park Eunjo,박은조,07/03/2002,South Korea,Dreamnote,F,,
Eunjun,Choi Eunjun,최은준,06/08/1999,South Korea,AIMERS,M,,
Eunjung,Ham Eunjung,함은정,12/12/1988,South Korea,T-ara,F,,
Eunki,Hong Eunki,홍은기,29/09/1997,South Korea,,,M,
